Bit,SMILES
340,[cH]1:[cH]:[cH]:[c]:[cH]:[c]:1-[O]-[C]
341,[c](:[cH])(:[cH])-[CH]
342,[CH2]
343,[c](:[cH]:[cH])(:[n]:[c]):[c](:[cH]):[nH]
344,[CH](\[c])=[N]
345,[cH]1:[cH]:[cH]:[cH]:[c](:[cH]):[c]:1:[cH]:[c]
346,[c](:[cH]:[c])(:[cH]:[cH])-[O]-[c]
347,[NH](-[C](-[NH])=[O])-[c](:[n]):[n]
348,[c](-[CH3])(:[cH]:[c]):[c](:[cH])-[N]
349,[c](=[O])(:[nH]:[c]):[c](:[cH])-[F]
350,[S]
351,[cH](:[n]:[c]):[n](:[c])-[CH2]
352,[c](-[c])(:[c]):[cH]
353,[cH]1:[n]:[cH]:[c]:[c](:[n]):[n]:1
354,[N+](=[O])(-[O-])-[c](:[c]):[cH]
355,[N](-[CH3])(-[CH3])-[c](:[cH]):[cH]
356,[c]
357,[c](:[cH]:[cH])(:[n]:[c]):[c](:[cH]):[n]
358,[C](#[N])-[c](:[c]):[c]
359,[n](:[n]:[cH])(-[c](:[cH]):[cH]):[c](:[c])=[O]
360,[N]
361,[c](-[C])(:[cH]):[cH]
362,[C](-[CH2])(=[O])-[O]
363,[cH]1:[cH]:[c](-[OH]):[c]:[cH]:[c]:1-[N+](=[O])-[O-]
364,[c](:[cH]:[c])(:[cH]:[c])-[N+](=[O])-[O-]
365,[cH](:[c](:[cH])-[N]):[c](:[c])-[Cl]
366,[c](:[c])(:[cH])-[Cl]
367,[c](:[cH])(:[c])-[CH3]
368,[c](:[cH]:[cH])(:[o]:[c]):[c](:[cH]):[c]
369,[c]1(-[C](-[F])(-[F])-[F]):[cH]:[cH]:[c]:[c](-[Cl]):[cH]:1
370,[cH]1:[c](-[Cl]):[c](-[Cl]):[cH]:[c](-[Cl]):[c]:1-[O]-[c]
371,[cH](:[cH]:[cH]):[c](:[c])-[CH]
372,[CH](=[CH]/[C])\[c](:[cH]):[cH]
