molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
3142,293.15,11.14363,-0.23688,2327.76473,2.8468,0.8147,1.3426,-2.5031,-32.3563,-34.8594
3143,293.15,9.38429,-0.76228,4503.76475,1.989,4.5063,3.4866,-4.8058,-77.0869,-81.8927
3144,293.15,2.63906,-0.59034,22779.7861,8.5506,0.6731,3.52,-7.8837,-74.0974,-71.917
3146,293.15,2.44235,-0.97852,53025.89939,14.8417,0.0,6.2603,-16.5942,-128.4194,-110.2135
3147,303.15,4.29183,-1.16143,18837.93055,5.2813,4.1917,4.8919,-5.1772,-101.1612,-101.2433
3149,293.15,-1.07881,-0.28371,17318.79832,5.7958,0.0,1.0865,-10.4798,-26.8038,-37.2836
3150,298.15,3.4012,-0.45603,14212.22826,5.0914,1.5996,2.2056,-5.189,-52.3353,-57.5242
3151,293.15,-2.30259,-0.38699,22914.79006,5.7226,0.8524,3.3113,-8.1475,-72.9134,-74.008
3153,298.15,2.93916,-0.11013,8665.0898,3.9246,0.0,0.0,-12.2304,-3.3558,-15.5862
3154,298.15,8.4929,-0.27291,4147.586,3.116,0.682,0.8946,-1.2536,-21.0422,-22.2958
3155,298.15,7.74932,-0.29933,5270.19761,3.4787,0.6689,0.9141,-0.1427,-21.6765,-21.8192
3156,298.15,-1.34707,-0.11551,12712.86068,4.2581,0.0,0.0,-18.7391,-3.8664,-22.6054
3157,298.15,8.58298,-0.27845,4147.05569,3.4497,0.6483,0.9372,-1.1342,-22.2406,-23.3748
3158,298.15,1.8151,-0.533,10955.01022,4.7537,2.132,2.9287,-8.4415,-69.0821,-77.5235
3160,298.15,5.5213,-0.17324,4184.13613,3.8758,0.0,0.8092,-1.2269,-19.1361,-20.363
3161,298.15,7.95507,-0.25578,7084.80015,4.0907,0.6831,0.9765,-6.275,-24.0409,-30.3159
3164,298.15,9.25913,-1.06469,7563.85999,2.8034,4.3212,3.7922,-2.2321,-79.601,-77.2436
3165,293.15,2.13928,-1.00295,25195.83251,9.6253,0.7553,4.5217,-3.6738,-87.1608,-61.9489
3166,298.15,6.1093,-0.80018,6912.21955,4.2301,3.3504,3.4892,-0.7087,-72.8056,-73.5143
3167,298.15,3.91202,-0.43919,9513.66594,3.5908,0.843,2.1655,-13.4671,-39.1509,-49.4897
3168,298.15,6.19032,-0.79367,6919.91565,4.1282,3.2924,3.3638,-0.7174,-70.4397,-71.1572
3169,298.15,6.21461,-0.25607,10690.01014,5.214,0.7209,1.8913,-9.4094,-35.8974,-41.9519
3170,298.15,-4.01738,-0.15583,17207.66056,5.7558,0.0,0.0,-14.4888,-5.2263,-19.7151
3171,298.15,0.16549,-0.43367,16668.06841,6.4022,0.8783,1.6285,-12.3715,-39.3299,-51.7013
3172,298.15,8.16052,-0.77657,8342.95761,5.275,2.7557,3.7404,-1.5639,-82.5283,-75.2486
3173,293.15,6.04025,-0.36941,8729.96533,4.7073,0.8995,1.5512,-8.0938,-36.4808,-44.5746
3174,298.15,1.27536,-0.49109,23909.58653,6.5083,0.9146,2.3339,-12.2163,-51.7603,-66.0829
3175,298.15,5.01064,-1.13313,14967.40174,4.768,3.4936,4.4475,-1.7447,-87.3363,-82.7681
3176,293.15,8.32118,-1.24754,10658.58545,4.92,3.2709,5.1513,-5.8762,-88.5519,-74.8486
3177,298.15,5.76832,-0.59489,10931.06946,6.1266,0.7621,2.8507,-3.4858,-59.2874,-52.3511
3178,289.15,7.24423,-0.83037,6803.97102,3.2534,2.9742,2.805,-0.3317,-57.9198,-52.3159
3179,298.15,6.21461,-0.83419,9218.02553,5.3424,2.7769,4.5305,-2.0771,-91.6566,-79.0383
3180,293.15,8.80986,-0.37784,3530.36786,3.3474,1.6526,1.7858,-1.2052,-40.7156,-41.9209
3181,293.15,9.26861,-0.4825,2947.65285,2.3339,2.5685,2.3531,-3.924,-52.4968,-56.4208
3182,298.15,3.09104,-0.2785,12337.78582,6.6932,0.0,1.5527,-7.1024,-37.2138,-39.3532
