molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
1019,298.15,7.86445,-0.50012,15295.61404,6.6743,0.9403,2.4871,-7.3514,-57.1106,-63.708
1020,293.15,-2.30173,-0.0904,14770.76441,3.8354,0.0,0.8677,-2.5546,-23.8179,-25.9676
1021,298.15,6.81014,-0.7677,13515.14083,9.0855,0.8166,4.2898,0.4196,-85.6739,-64.1935
1022,298.15,10.859,-0.22778,8169.96473,4.9497,0.0,1.1931,-2.7692,-25.1273,-27.8965
1023,295.15,2.99976,-1.02558,26671.06713,12.7523,0.0,5.7943,0.5546,-116.8329,-75.7163
1024,298.15,1.42618,-0.87999,25937.51723,10.4804,0.8084,4.1098,-11.145,-87.6058,-79.9819
1025,293.15,-2.55041,-0.09179,14748.94707,4.0334,0.0,0.953,-2.5548,-25.9968,-28.5516
1026,295.15,5.70281,-0.61905,6854.49309,5.1717,0.9499,3.5586,-7.0806,-67.7715,-63.2017
1027,293.15,4.29046,-0.35011,16884.70231,7.153,0.0,2.557,-0.0253,-51.0657,-33.9612
1028,298.15,7.03878,-0.11753,2065.05496,3.0587,0.0,1.0083,-1.423,-26.4078,-27.8307
1029,298.15,7.40853,-0.7418,6507.93568,4.2892,3.0246,3.881,0.411,-73.5142,-59.0381
1030,295.15,6.62007,-0.58038,5582.87101,4.2634,1.0108,3.3361,-8.1988,-63.2915,-62.0462
1031,298.15,4.69135,-0.16012,5621.61755,3.9231,0.0,1.0828,-4.2397,-21.9732,-23.2847
1032,293.15,9.21023,-0.47049,4255.26496,1.0085,2.2051,2.4336,-7.121,-47.7345,-54.8556
1033,293.15,5.16479,-0.26792,8822.50889,5.6107,0.0,0.9267,-4.8228,-19.1219,-23.9447
1034,293.15,4.82112,-0.54015,22019.88512,8.4236,0.0,3.2507,8.4976,-74.0052,-23.0427
1035,298.15,5.7589,-0.94906,17397.1716,8.4242,1.7526,3.7141,4.7352,-80.1647,-68.1189
1036,295.15,4.70026,-0.65248,8262.68079,5.7224,0.9195,3.6706,-5.9684,-70.2476,-63.8772
1037,298.15,4.24992,-0.83703,17640.25199,7.2454,1.4822,3.9025,4.1634,-81.5619,-57.6424
1038,298.15,3.91202,-0.25964,9042.86094,1.6558,0.9957,1.3434,-3.8656,-26.2891,-30.1548
1039,298.15,12.42922,-0.89831,18369.11868,6.8544,2.296,3.7506,-7.1333,-84.1623,-86.2595
1040,293.15,3.70623,-0.79747,22895.5917,10.6631,0.0,4.2281,-11.3709,-89.3162,-79.3174
1041,283.15,7.02108,-0.86651,7348.27211,3.3583,3.783,3.7447,-5.4482,-80.6112,-82.6817
1042,298.15,4.35104,-0.39757,22397.86482,7.3843,0.0,2.6934,-15.8391,-51.3161,-51.154
1043,298.15,3.40123,-0.57945,16342.48301,7.2124,0.0,1.9693,-6.1698,-45.6995,-31.3027
1044,293.15,9.61572,-0.59596,7684.02099,4.6198,2.0019,2.3889,2.1598,-53.7016,-51.5418
1045,293.15,2.86109,-0.85628,4854.62382,1.7111,2.917,3.588,-9.029,-63.6908,-65.0438
1046,293.15,4.55381,-0.30623,7488.84295,5.2357,0.0,2.2929,-12.5729,-43.065,-48.7285
1047,298.15,6.02332,-0.10887,3774.75272,3.4576,0.0,0.861,0.4809,-23.0553,-22.5743
1048,298.15,3.9119,-0.37489,12270.9862,5.828,1.2527,2.8646,-10.9687,-68.267,-67.9749
1049,298.15,3.30302,-0.66085,15384.70911,6.5451,1.2711,2.9079,-9.0374,-65.7415,-63.0002
1050,295.15,3.91459,-0.94062,21609.74656,11.8575,0.0,5.5646,-1.7082,-112.425,-76.8342
