molindx,MolarMass,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,Temperature,logS
66,182.14,40.1664,4.020743701,120.231,203.978,-29.3904941,3.501007105,25.88948699,-7.92073785,-2.543961677,5.376776174,298.15,5.31812
67,215.2234,67.19504,8.106226311,139.955,238.694,-32.06817678,25.5049947,6.563182089,-7.91718132,-2.523506867,5.393674453,298.15,5.9135
68,123.11,39.66432,7.523744012,96.513,160.917,9.633777717,-7.831902296,-1.801875421,-7.906353904,-1.659868733,6.246485171,293.15,13.77469
69,236.2602,113.34456,9.04095231,143.015,244.882,-13.83551819,-13.97094111,27.8064593,-7.902868124,-1.447834783,6.455033341,298.15,7.37769
70,367.3356,97.278,10.14139737,208.075,354.842,54.30101227,-42.39338385,-11.90762842,-7.895567305,-1.866216044,6.029351261,298.15,5.14749
71,104.11,32.34232,2.459439968,94.599,153.431,-25.96157667,22.01795276,3.943623911,-7.895480229,-1.89297764,6.002502589,293.15,10.59663
72,219.1964,58.3668,5.245246826,152.324,256.619,44.08202104,-32.52710876,-11.55491228,-7.895224442,-2.424654926,5.470569516,293.15,5.99146
73,381.3624,108.07272,16.03230812,223.439,380.353,-38.52644678,14.80257428,23.72387249,-7.893684276,-1.855786459,6.037897817,298.15,9.15816
74,144.1478,43.68096,3.782330289,107.495,175.134,18.65603656,-18.42513015,-0.230906409,-7.8906366,-1.740179642,6.150456957,293.15,10.81987
75,182.14,38.53464,1.086022349,122.598,208.241,-37.33667591,24.26387754,13.07279837,-7.889711412,-3.067475815,4.822235597,298.15,5.38907
76,176.6173,33.01176,7.295471329,116.906,189.229,-11.00942455,7.073575593,3.935848955,-7.887213405,-2.282477538,5.604735868,293.15,7.74066
77,213.2358,37.0284,0.214566258,155.323,271.635,-9.895046201,5.356004234,4.539041966,-7.885428338,-0.306363629,7.579064709,298.15,8.85358
78,326.3054,49.7896,7.586522182,200.81,354.081,-14.18992682,12.3836889,1.806237917,-7.881975211,-2.868614903,5.013360308,298.15,1.37877
79,104.11,32.96992,5.19861222,91.817,149.074,-16.67663477,13.79002161,2.886613159,-7.877275802,-1.628724741,6.248551061,293.15,11.81303
80,165.1816,62.21608,7.004027162,103.98,168.612,14.17696901,-3.131213933,-11.04575508,-7.877066274,-1.279626425,6.597439849,290.15,12.8435
81,254.1526,102.17328,5.926035384,152.359,261.079,-4.955030846,-26.06196466,31.01699551,-7.877011852,-2.125249252,5.751762599,289.15,9.54674
82,104.11,35.52216,7.75405426,92.946,150.606,-9.849162695,9.602265207,0.246897488,-7.872573672,-1.677608933,6.194964739,293.15,11.15625
83,492.2258,83.21976,7.396906287,244.362,420.645,-25.29212157,-7.137919527,32.4300411,-7.870818537,-3.302527888,4.568290649,293.15,4.86758
84,265.91,31.54736,4.000736121,173.47,261.049,7.605403683,-24.23579495,16.63039127,-7.860067313,-2.650330495,5.209736818,298.15,-0.21072
85,167.12,62.09056,4.404370532,112.775,189.951,26.07137279,-19.33281598,-6.738556804,-7.856080843,-2.124076169,5.732004674,298.15,7.82004
86,185.1113,48.49256,7.694228092,118.961,200.033,-4.052962929,0.620474366,3.432488563,-7.84986848,-2.608572425,5.241296055,298.15,8.48856
87,225.1851,65.6888,8.314360481,125.787,214.029,24.2784021,-21.08316571,-3.195236389,-7.847381358,-1.329789553,6.517591805,298.15,5.8999
88,211.1306,89.83048,5.432355514,125.967,215.027,28.2131303,-4.279004548,-23.93412575,-7.847324214,-2.289327736,5.557996479,288.15,9.39351
89,243.1324,58.11576,3.860962537,145.825,247.37,27.32019332,-6.421951281,-20.89824204,-7.846009904,-2.836323135,5.009686769,288.15,5.29789
